"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2024","EQ","340.00","340.00","334.85","339.55","336.95","337.75","336.84","348.05","166.80","96,65,454","3,25,57,08,368.15","1,31,628"
"22-Feb-2024","EQ","339.00","340.25","330.60","336.10","339.15","339.55","334.88","348.05","166.80","1,60,83,122","5,38,58,95,227.40","2,17,584"
"21-Feb-2024","EQ","347.00","348.05","334.70","345.70","335.90","336.10","341.57","348.05","166.80","1,77,51,633","6,06,35,13,144.00","1,77,566"
"20-Feb-2024","EQ","340.60","346.50","337.80","338.75","346.00","345.70","343.48","346.50","166.80","1,93,40,526","6,64,30,51,639.35","1,70,310"
"19-Feb-2024","EQ","340.40","341.90","337.50","337.75","338.70","338.75","339.64","342.95","166.80","84,96,898","2,88,58,53,799.90","1,20,591"
"16-Feb-2024","EQ","341.90","342.95","336.80","339.25","337.40","337.75","339.77","342.95","164.20","2,03,07,449","6,89,98,20,251.20","2,07,861"
"15-Feb-2024","EQ","331.00","340.90","330.15","328.00","340.85","339.25","336.16","341.05","164.20","2,19,73,316","7,38,64,48,334.45","2,32,612"
"14-Feb-2024","EQ","320.90","329.35","318.35","321.55","328.45","328.00","322.50","341.05","164.20","1,40,85,723","4,54,26,90,962.70","1,65,867"
"13-Feb-2024","EQ","318.55","323.95","315.90","316.15","320.90","321.55","320.66","341.05","164.20","1,54,26,888","4,94,68,41,328.60","1,73,208"
"12-Feb-2024","EQ","326.15","326.70","314.50","324.90","316.25","316.15","318.12","341.05","164.20","1,17,14,289","3,72,65,73,652.90","1,79,709"
"09-Feb-2024","EQ","332.95","335.00","319.60","330.90","324.70","324.90","325.61","341.05","164.05","1,83,04,439","5,96,00,93,394.95","2,41,383"
"08-Feb-2024","EQ","333.95","335.25","328.00","330.70","332.00","330.90","331.33","341.05","164.05","1,77,54,869","5,88,26,84,049.70","2,61,928"
"07-Feb-2024","EQ","337.90","337.90","329.65","334.20","331.90","330.70","332.47","341.05","164.05","80,80,437","2,68,64,89,834.10","1,34,501"
